2021-08-06 17:02:28.3155 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:32.6133 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 1 

2021-08-06 17:02:32.7932 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 1 was succesfully selected from DB 

2021-08-06 17:02:35.7136 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:02:35.7256 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:37.0407 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 2 

2021-08-06 17:02:37.0477 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 2 was succesfully selected from DB 

2021-08-06 17:02:38.0835 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:02:38.0945 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:38.9855 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 3 

2021-08-06 17:02:38.9855 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 3 was succesfully selected from DB 

2021-08-06 17:02:40.8755 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Selecting room with id = 3 for editing 

2021-08-06 17:02:40.8755 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Starting editing room with id = 3 

2021-08-06 17:02:50.2793 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Editing room with id = 3 

2021-08-06 17:02:50.2793 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Room with id = 3 edited succesfully 

2021-08-06 17:02:50.3243 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 3 

2021-08-06 17:02:50.3243 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 3 was succesfully selected from DB 

2021-08-06 17:02:52.1749 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:02:52.1749 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:54.9355 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 3 

2021-08-06 17:02:54.9355 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 3 was succesfully selected from DB 

2021-08-06 17:02:56.4619 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Selecting room with id = 3 for editing 

2021-08-06 17:02:56.4699 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Starting editing room with id = 3 

2021-08-06 17:03:01.1482 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Editing room with id = 3 

2021-08-06 17:03:01.1482 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Room with id = 3 edited succesfully 

2021-08-06 17:03:01.1702 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 3 

2021-08-06 17:03:01.1702 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 3 was succesfully selected from DB 

2021-08-06 17:03:03.7258 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:03:03.7348 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:04:39.6722 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:04:43.1596 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:04:50.2310 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 17:04:50.2610 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 17:05:07.9824 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 17:05:08.0014 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 17:05:22.6204 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:05:22.6294 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:05:25.3474 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 1 

2021-08-06 17:05:25.5273 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 1 was succesfully selected from DB 

2021-08-06 17:05:26.9279 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:05:26.9349 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:05:49.7313 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:05:49.7313 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:05:51.4006 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| Selecting the list of all clients 

2021-08-06 17:05:51.4246 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| List of all clients was succesfully selected from DB 

2021-08-06 18:27:09.9315 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:27:13.1637 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:27:14.8451 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Selecting room with id = 1 for editing 

2021-08-06 18:27:16.4485 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Editing room with id = 1 

2021-08-06 18:27:16.4565 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Room with id = 1 edited succesfully 

2021-08-06 18:27:16.5095 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 1 

2021-08-06 18:27:16.5165 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 1 was succesfully selected from DB 

2021-08-06 18:27:17.6522 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:27:17.6522 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:27:18.9469 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Selecting room with id = 2 for editing 

2021-08-06 18:27:20.1125 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Editing room with id = 2 

2021-08-06 18:27:20.1125 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Room with id = 2 edited succesfully 

2021-08-06 18:27:20.1256 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 2 

2021-08-06 18:27:20.1256 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 2 was succesfully selected from DB 

2021-08-06 18:27:20.9664 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:27:20.9664 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:27:29.7750 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 18:27:29.8030 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 18:28:47.1711 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 18:28:50.4661 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 18:28:57.4092 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:28:57.4392 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:28:58.9924 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Selecting room with id = 1 for editing 

2021-08-06 18:29:00.6046 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Editing room with id = 1 

2021-08-06 18:29:00.6086 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Room with id = 1 edited succesfully 

2021-08-06 18:29:00.6365 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 1 

